,chords,view,star,date,url,text
Адель,"['A#m', 'F#', 'D#m', 'F', 'C#', 'D#', 'G#']",72838,183,21.12.2014,https://amdm.ru/akkordi/knyazz/102367/adel/,"['Вступление:', '|', '|', '|', '|', '|', '|', '|', '}x2', 'Не принимает разум твой уход,', 'Не лечат этот факт года.', 'И если твоё время летит вперёд,', 'То моё - стоит всегда.', 'И я не стану отрицать,', 'Что лет примерно эдак ""дцать""', 'Я не даю тебе сбежать.', 'В моменты прошлого гляжу,', 'До совершенства довожу, их довожу.', 'Припев:', 'Поздно, Адель!', 'Ты сделала свой выбор, и я', 'Остановлю часы в двенадцать дня,', 'И время снова направлю я вспять.', 'Будущего нет,', 'Но прошлое вполне для меня.', 'Останешься такой как прежде -', 'Мне, невежде, будет что исправлять.', 'Превозмогая боль утраты, жду', 'Я возвращения назад,', 'Пытаясь тщетно нашу унять вражду, -', 'Та возрастает во сто крат.', 'Свобода дерзкая пьянит,', 'Заложник времени пленит', 'Её, утратив всякий стыд.', 'Играя стрелками часов,', 'На двери в будущее вешает засов.', 'Припев:', 'Поздно, Адель!', 'Ты сделала свой выбор, и я', 'Остановлю часы в двенадцать дня,', 'И время снова направлю я вспять.', 'Будущего нет,', 'Но прошлое вполне для меня.', 'Останешься такой как прежде -', 'Мне, невежде, будет что исправлять.', 'Проигрыш:', '|', '|', '|', '}x4', '|', '|', '|', '|', '|', '|', 'Припев:', 'Поздно, Адель!', 'Ты сделала свой выбор, и я', 'Остановлю часы в двенадцать дня,', 'И время снова направлю я вспять.', 'Будущего нет,', 'Но прошлое вполне для меня.', 'Останешься такой как прежде -', 'Мне, невежде, будет что исправлять.', 'Поздно, Адель!']"
Актриса,"['Em', 'Am', 'G', 'D', 'B']",9177,11,15.09.2015,https://amdm.ru/akkordi/knyazz/123341/aktrisa/,"['За то что я двуличен был себя корю порой', 'Одной счастливый миг дарил, затем бежал к другой', 'Актриса бедная моя обманута судьбой', 'Вела, на сердце боль храня, к развязке роковой', 'В её бокале найден яд, я с горя той зимой', 'Пошёл куда глаза глядят, покинув край родной', 'Но разорвать порочный круг не удалось опять', 'Красавиц много стало вдруг мне сердце искушать', 'Припев:', 'Когда она играла восхищался зал', 'Но зря мне доверяла - я не идеал', 'Дал бы Бог мне жизнь вторую', 'С ней бы прожил как в раю я', 'И клянусь, как пёс бы верным стал.', 'Бокал, как (?) смерти талисман имел один финал', 'Мой каждый следующий роман, я почерк узнавал', 'Манеры те же, тот же взгляд, на всех один сюжет', 'Любовь и боль, вино и яд, в чем кроется секрет?', 'Припев:', 'Когда она играла восхищался зал', 'Но зря мне доверяла - я не идеал', 'Дал бы Бог мне жизнь вторую', 'С ней бы прожил как в раю я', 'И клянусь, как пёс бы верным стал.', 'Её театр стал моей смертельной западнёй', 'Платил невинной жизнью ей за каждый выбор свой', 'И как костюм очередной, надев чужую плоть', 'Актриса всюду шла за мной, спаси меня, Господь!', 'Припев:', 'Когда она играла восхищался зал', 'Но зря мне доверяла - я не идеал', 'Дал бы Бог мне жизнь вторую', 'С ней бы прожил как в раю я', 'И клянусь, как пёс бы верным стал.']"
"Алло, гараж","['G', 'Bm', 'Am', 'F#m', 'A', 'D', 'E', 'F#', 'B', 'Bb']",5969,11,14.04.2015,https://amdm.ru/akkordi/knyazz/111799/allo_garazh/,"['Intro:', '}x4', 'Джонни в доме у себя нашёл гитару,', 'Дай, Джонни жару! – Не тот кураж.', 'Уже не тот кураж.', 'Уже не тот кураж.', 'В это время во дворе открылся старый,', 'Скрипучий, ржавый его гараж.', 'Заброшенный гараж.', 'Панк-рок звучал из гаража,', 'И Джонни спрыгнул вниз', 'Аж со второго этажа.', 'Молодой пацан на «Фендере» играл,', 'И пьяный Джонни в нём', 'Вдруг самого себя узнал.', 'Пацан давил на фузз –', 'Отличный перегруз.', 'Отличный перегруз.', 'Пацан давил на фузз!', 'Проигрыш:', '}x2', 'Кем по жизни Джонни стал? Ты сдал, приятель!', 'Ты обыватель, быт тебя съест.', 'Как всё не надоест?', 'Как всё не надоест?', 'Сам таких ты презирал, обычный брокер,', 'Совсем не рокер, где твой протест?', 'Где твой былой протест?', 'Панк-рок звучал из гаража,', 'И Джонни спрыгнул вниз', 'Аж со второго этажа.', 'Молодой пацан на «Фендере» играл,', 'И пьяный Джонни в нём', 'Вдруг самого себя узнал.', 'Под яростный рифак', 'Показывал он фак.', 'Показывал он фак.', 'Под яростный рифак!', 'Проигрыш:', '|', '|', '|', '|', '|', '|', '|', '}x2', 'Панк-рок звучал из гаража,', 'И Джонни спрыгнул вниз', 'Аж со второго этажа.', 'Молодой пацан на «Фендере» играл,', 'И пьяный Джонни в нём', 'Вдруг самого себя узнал.', 'Под яростный рифак', 'Показывал он фак.', 'Показывал он фак.', 'Под яростный рифак!', 'Панк-рок звучал из гаража,', 'И Джонни спрыгнул вниз', 'Аж со второго этажа.', 'Молодой пацан на «Фендере» играл,', 'И пьяный Джонни в нём', 'Вдруг самого себя узнал.']"
Ангел и демон,"['Bm', 'F#7/C#', 'F#7', 'Bm7', 'D', 'Em7', 'G', 'F#', 'Em', 'A', 'Bm7/D', 'Bm/F#']",10225,8,26.02.2016,https://amdm.ru/akkordi/knyazz/135358/angel_i_demon/,"['Лучше промолчи, прошлое забудь', 'Вряд ли ты сможешь его  вернуть...', '(', 'Взял на плечи бремя,', 'Предал своё племя,', 'Чтоб у нас с тобой один был путь!', 'И мы с тобой теперь стали за одно', 'Вместе не страшно и пасть на дно!', '(', 'Пусть враги суровы,', 'Мы принять готовы', 'Всё, что нам с тобой отныне,', 'Всё, что нам с тобой отныне,', 'Всё, что нам отныне суждено', 'Не изменит лик Ада благодать,', 'Та что стремился мне Ангел дать', 'Прокляты навеки,', 'Не смыкая веки.', 'Создан волю,', 'Создан волю', 'Падших исполнять', 'Но снова вопреки сущности своей,', 'С каждым мгновением всё сильней', '(', 'Упиваюсь светом,', 'Тем, что под запертом', 'Жду расправы, счастлив праву', 'гибнуть вместе с ней', 'Я нарушил все правила игры,', 'Как смертный, я начал видеть сны...', 'Ввергнуть нас в неволю', 'Аду не позволю!', 'Я воскресну,', 'Сгиньте в бездну,', 'Слуги Сатаны!', 'В ночь ухо  -  дим мы...']"
Байкеры,"['Am', 'Dm', 'E', 'F', 'G', 'C']",499,1,13.06.2022,https://amdm.ru/akkordi/knyazz/193186/baykeri/,"['Рёв мотора драл клыками      (один удар на аккорд первые четыре строчки каждого куплета)', 'Словно дичь тишину.', 'Я любил играть с волками ,', 'Ночью выть на луну.', 'На дорогах было нас немало,        (тут можно играть шестёркой)', 'Шоссе своих героев знало', 'Как-то ночью гнал по встречной,', 'Ослепил яркий свет', 'Та секунда стала вечной,', 'Отлетел я в кювет.', 'Эй ты, здоровяк, тупой водила,', 'Что ж тебе дня то не хватило?', '[Припев]:', 'Те, кому мешают призраки призраки дорог,       (так-же можно шестёркой)', 'Пускай идут ко всем чертям, ко всем чертям.', 'Кто-то с управленьем справиться не смог', 'Я слышу вновь по новостям, по новостям.', 'Отлепить свой лоб от дуба', 'Было мне не легко.', 'Ствол мой череп принял грубо', 'И пробил глубоко.', 'И едва подняться я пытаюсь,', 'О своё же тело спотыкаюсь.', '[Припев]:', 'Те, кому мешают призраки призраки дорог,', 'Пускай идут ко всем чертям, ко всем чертям.', 'Кто-то с управленьем справиться не смог', 'Я слышу вновь по новостям, по новостям.', 'Молча возле самого себя стою      (тут по одному удару на каждый аккорд)', 'И надеюсь, что все это сон.', 'Здоровяк косуху нагло снял мою    (можно шестёрку)', 'И закинул в старый свой фургон.', '« Вас, ребята, слишком много развелось,', 'И от вас не деться никуда.', 'Ощущений острых хочется небось', 'И я в этом помогу всегда».', '[Припев]:', 'Те, кому мешают призраки призраки дорог,', 'Пускай идут ко всем чертям, ко всем чертям.', 'Кто-то с управленьем справиться не смог', 'Я слышу вновь по новостям, по новостям.']"
Бандит,"['A', 'D', 'Am', 'F', 'E', 'G', 'C', 'Em', 'Dm']",3836,3,19.12.2015,https://amdm.ru/akkordi/knyazz/130465/bandit/,"['Бандит, бандит, бандит, ехоу!', 'Во всем Техасе его знали,', 'Там он имел сомнительный успех,', 'Его боялись, уважали', 'А он чертовски ненавидел всех', 'С левой рукой распрощался', 'В детстве любил динамит,', 'За банки решительно взялся', 'Злобный техасский бандит', 'Стало имя знаменито', 'Однорукого бандита', 'Не искал он подобной славы', 'И грабил всех ради забавы', 'И грабил всех ради забавы', 'Чтоб мексиканскую границу', 'С награбленным богатством пересечь', 'Монеты вдавливал он в пиццу', 'И жадно ел, ведь дело стоит свеч', 'Нервно курил самокрутки', 'Выпивка к месту была', 'Ценность желудка за сутки', 'В тысячу раз возросла', 'Стало имя знаменито', 'Однорукого бандита', 'Не искал он подобной славы', 'И грабил всех ради забавы', 'И грабил всех ради забавы', 'Бандит, бандит, бандит, ехоу!', 'Как назло в шаге от цели', 'Резко скрутило живот', 'И все вокруг лицезрели', 'Первый на свете джек-пот!', 'Стало имя знаменито', 'Однорукого бандита', 'Не искал он подобной славы', 'И грабил всех ради забавы', 'И грабил всех ради забавы', 'Бандит, бандит, бандит, ехоу!']"
Банник,"['Gm', 'F', 'C#m', 'B']",4247,4,28.01.2017,https://amdm.ru/akkordi/knyazz/157148/bannik/,"['Вступление:', '}x5', 'Я не трачу время даром, всем желаю «С лёгким паром!»', '/', 'Своё дело чётко знаю — всех намою, всех напарю!', 'Припев:', 'Хоть меня к нечистой силе всю дорогу относили —', 'Знают взрослые и дети: Банник чище всех на свете.', 'А годочков мне за 300 — дед с душою пацифиста!', 'Рад гостям и свежим новостям!', 'Только требую, ребятки, соблюдать мои порядки.', '/', 'Если мой наказ не ясен — становлюсь весьма опасен!', 'Припев:', 'Хоть меня к нечистой силе всю дорогу относили —', 'Знают взрослые и дети: Банник чище всех на свете.', 'А годочков мне за 300 — дед с душою пацифиста!', 'Рад гостям и свежим новостям!', '/', 'Но есть предел у моего радушия, друзья:', 'Должны все знать, что сквернословить в баньке вам нельзя!', 'Законы эти соблюдают люди с давних пор,', 'А с нарушителем у нас отдельный разговор —', '/', 'В парилке веником невежу я поколочу.', 'Затем, ошпарю кипятком и дико закричу.', 'Спаясь вне бежит наглец на улицу, и тут —', 'Вороны мигом налетят и насмерь заклюют!', 'Мои гости злые  Водяные, Домовые', 'В жизни радости не знают, в русской баньке не бывают.', 'Так и сгинут не за грош, и я лишь тем на них похож,', 'Что сам себя боюсь, когда я злюсь!', 'Что сам себя боюсь, когда я злюсь! Эх, банька!', 'Что сам себя боюсь, когда я злюсь! Эх, банька!', 'Что сам себя боюсь, когда я злюсь! Эх, банька!', 'Я сам себя боюсь, когда я злюсь…']"
Барин и вурдалак,"['Gm', 'Cm', 'D7', 'D#', 'A#', 'D', 'F', 'Am', 'Dm', 'E7', 'C', 'E', 'G']",11562,11,01.11.2015,https://amdm.ru/akkordi/knyazz/126902/barin_i_vurdalak/,"['Плохие нынче времена! Крестьян одолевает страх.', 'Нависла на Землёй кровавая Луна и лес нечистой силою пропах.', 'А что в народе говорят: в краях завёлся Вурдалак.', 'Лишает человека воли его взгляд, и тянет жертву медленно во мрак!', 'Зря на подмогу уповал...', 'Вновь упыря не обманул!', 'Гонца с письмом в столицу барин посылал, -', 'Истерзанное тело конь вернул.', 'А между тем, больной жене не помогало ничего.', 'Она хватала крест, висящий на стене -', 'Швыряла в грудь священника его.', 'Припев:', 'Что ж ты, барин, снова хлещешь водку с утра?', 'Знать одолела ненавистная гора.', 'Слуга твой, в прошлом - славный малый,', 'Нынче - жаждет крови алой.', 'Присягнув на верность силам зла!', 'Слуга твой, в прошлом - славный малый,', 'Нынче - жаждет крови алой.', 'Присягнув на верность силам зла!', 'Упырь явился ко двору. Эй, барин, отдавай жену.', 'Вы все больной её больной считаете, а зря!', 'Она такой же станет, как и я!', 'Священник кркнул: ""Это вздор!""', 'Господь поможет зло изгнать!', 'Но в этот миг, его словам наперекор -', 'Клыки у барыни вдруг стали выростать.', 'Посмотрела взглядом хищным и не родным.', 'На помещика и сделался седым', 'Его до сели тёмный волос', 'Закричала она в голос -', 'Ужасом сковала ледяным.', 'Пронзила уши диким криком,', 'В лес сбежав со злобным ликом -', 'Для людей кошмаром став ночным!']"
Баркас,"['Am', 'C5', 'Dm', 'F', 'G', 'Em', 'D5']",11338,27,08.03.2020,https://amdm.ru/akkordi/knyazz/173574/barkas/,"['[Вступление]:', 'x2', '[Куплет 1]:', 'Сидеть на берегу морскому волку вредно, как и много пить.', 'Суметь не только выжить, но и треуголку вора сохранить.', 'Порой задача крайне непростая, только выбор невелик.', 'На бой свой страх я снова вызываю, презирая смерти лик.', '[Припев]:', 'Который час пытается расправиться', 'Со мною шторм, и шансов никаких.', 'Но старый мой баркас тонуть не собирается,', 'Ведь с ним у нас один характер на двоих.', '[Проигрыш]:', '[Куплет 2]:', 'Меня тянуло с детства в море дико,', 'К чёрту плен домашних стен.', 'Во всей красе я видел Моби Дика,', 'Слышал голоса сирен.', 'Хоть я отнюдь не из пугливых, братцы,', 'Но всех вспомнил праотцов,', 'Тикая от Летучего Голландца и команды мертвецов.', '[Припев]:', 'Мой дрейф Морскому Дьяволу не нравится,', 'Мы живы, но грядёт Девятый Вал.', 'Но старый мой баркас тонуть не собирается,', 'С5', 'Клянусь, друзья, я сам таким его создал.', '[Соло]:', 'Хей-хо!', 'Хей-хо!', 'Хей-хо!', 'Хей-хо!', 'Хей-хо!', 'Хей-хо!', 'Хей-хо! Е-ее!', '[Припев]:', 'Который час пытается расправиться', 'Со мною шторм, и шансов никаких.', 'Но старый мой баркас тонуть не собирается,', 'Ведь с ним у нас один характер на двоих.', '[Кода]:', '/', '/', 'x2', '/', '/', 'x2', 'Хей-хо!']"
Бастард,"['Dm', 'F', 'Gm', 'Bb', 'C', 'G', 'A7', 'Em']",4123,1,18.08.2015,https://amdm.ru/akkordi/knyazz/121270/bastard/,"['Не так уж много было в моём сердце надежд', 'Невзгоды и лишения брели по пятам', 'Среди подонков и невежд', 'Я жил и взрослым был не по годам', 'Как знать быть может вовсе не с проста, не с проста', 'Я рос в порту где злачные повсюду места', 'Тот факт отнюдь не забавлял', 'Что мир меня на прочность проверял', 'Что ещё я среди пустоты', 'Всё не моё всё не родное мне', 'Быть не в радость игрушкой судьбы', 'И понимать что ты на самом дне', 'Пришлось испить мне чашу с горьким зельем до дна', 'Мой сгорло время у закрытых дверей', 'Свет застелила пелена', 'Отчаянье тянуло в мир теней', 'Бастарт ночтной бродяга благородных кровей', 'Мне выпало скитаться до конца своих дней', 'Судьба порвалась как струна', 'На старой лютне за спиной моей', 'Что ещё я среди пустоты', 'Всё не мой всё не родное мне', 'Но быть не в радость игрушкой судьбы', 'И понимать что ты на самом дне', 'Модуляция в', '(+2)', 'Клеймо ножом не вырезать водою не смыть', 'Не раз я подавлял в себе желание мстить', 'Все знают кто я но забуть', 'Изгоя не могу судьбу простить', 'Что ещё я среди пустоты', 'Всё не мой всё не родное мне', 'Но быть не в радость игрушкой судьбы', 'И понимать что ты на самом дне']"
