chords,view,star,date,url,text
"['A', 'D', 'E', 'A7']",12217,7,07.04.2003,https://amdm.ru/akkordi/ddt/13337/mi_iz_ufi/,"['Наш город это - здесь живем,', 'Весной гуляем, спим зимой,', 'А если вдруг когда умрем, -', 'Схоронят здесь же, за рекой.', '(', 'We all live in Ufa!', '(', 'Бэс яшайбэс Уфа!', 'Мы ходим дружно на собранья,', 'Берем за горло встречный план,', 'Шумим на длинных заседаньях', 'На тему: ""Жив ли Башкортостан? ""', '(', 'We all live in Ufa!', '(', 'Бэс яшайбэс Уфа!', 'У нас вся есть - свои герои, -', 'В любом подъезде разольют,', 'Лет через сто метро откроют,', 'А нынче ""Rifle"" продают.', '(', 'We all live in Ufa!', '(', 'Бэс яшайбэс Уфа!']"
"['Am', 'F7', 'C', 'E', 'G', 'F', 'E7']",17262,45,09.07.2011,https://amdm.ru/akkordi/ddt/93673/ya_poluchil_etu_rol/,"['Куплет:', '|--0--0---0---0---0--0---0--0|--0---0---0---0---0---0---0---0|', '|--1--1---1---1---1--1---1--1|--1---1---1---1---1---1---1---1|', '|--2--2---2---2---0--0---0--0|--2---2---2---2---2---2---2---2|', '|----------------------------|3-------3-------3-------3------|', '|0------0---0---2------3-----|------------3---------------3--|', '|----------------------------|-------------------------------|', 'G*', '|--0---0|--3---3|--0---0---0---0|--0---0---0---0---0---0---0---0|', '|--1---1|--3---3|--1---1---1---1|--1---1---1---1---1---1---1---1|', '|--2---2|--0---0|--0---0---0---0|--2---2---2---2---2---2---2---2|', '|-------|-------|---------------|3-------3-------3-------3------|', '|0------|3------|3-------3------|------------3---------------3--|', '|-------|-------|---------------|-------------------------------|', '|--0---0---0---0|--0---0---0---0|--0---0|--3---3|--0---0---0---0|', '|--1---1---1---1|--0---0---0---0|--1---1|--3---3|--1---1---1---1|', '|--2---2---2---2|--1---1---1---1|--2---2|--0---0|--0---0---0---0|', '|3-------3------|---------------|-------|-------|---------------|', '|------------3--|--------2------|0------|-------|3-------3------|', '|---------------|0--------------|-------|3------|---------------|', 'E*', '|--0---0---0---0|--0---0---0---0|--0---0---0---0|--------0------|', '|--1---1---1---1|--0---0---0---0|--1---1---1---1|--------0------|', '|--2---2---2---2|--1---1---1---1|--2---2---2---2|--------1------|', '|3-------3------|---------------|---------------|---------------|', '|------------3--|--------2------|0-------0------|---------------|', '|---------------|0--------------|---------------|0-------0------|', 'Нас сомненья грызут. Этой гадости всякий не рад.', 'И тоскливая тяжесть в груди разбивает любовь.', 'А пока мы сидим и страдаем, скулим у захлопнутых врат,', 'Нас колотит судьба чем попало, да в глаз или в бровь.', 'Вот хитрейшие просто давно положили на все.', 'Налепив быстро мягкий мирок на привычных их телу костях,', 'Лишь смеются над нами, погрязшими в глупых страстях.', 'Им давно наплевать на любое, твое и мое.', 'Припев:', '|--0---0---0---0|--3---3|--0---0|--0---0---0---0---0---0---0---0|', '|--1---1---1---1|--3---3|--1---1|--1---1---1---1---1---1---1---1|', '|--2---2---2---2|--0---0|--0---0|--2---2---2---2---2---2---2---2|', '|---------------|-------|-------|3-------3-------3-------3------|', '|0-------0------|-------|3------|------------3---------------3--|', '|---------------|3------|-------|-------------------------------|', '', 'Я получил эту роль. Мне выпал счастливый билет.', '', 'Я получил эту роль. Мне выпал счастливый билет.', 'Вопрошаем отцов, но не легче от стройных речей.', 'Не собрать и частичный ответ из подержанных фраз.', 'Их тяжелая юность прошла в далеке от вещей,', 'Тех, которые так переполнили доверху нас.', 'И когда нам так хочется громко и долго кричать,', 'Вся огромная наша родня умоляет молчать.', 'И частенько, не веря уже в одряхлевших богов,', 'Сыновья пропивают награды примерных отцов.', 'В суете наступает совсем одинокая ночь.', 'Лезут мысли о третьем конце, и уже не до сна.', 'Но на следующий вечер приводим мы ту, что не прочь.', 'И тихонько сползая с постели отступает война. Оо!', '', 'Я получил эту роль. Мне выпал счастливый билет.', '', 'Я получил эту роль. Мне выпал счастливый билет.', 'Эфемерное счастье наполнило медом эфир.', 'Славим радость большого труда, непонятного смыслом своим.', 'Славим радость побед, по малейшему поводу - пир.', 'И уж лучше не думать, что завтра настанет за ним.', 'Безразличные грезы, прощаясь одна за другой,', 'Улетают, навечно покинув еще одного.', 'Он лежит и гниет, что-то желтое льет изо рта.', 'Это просто неизрасходованная слюна.', 'Сладость тело питала, но скоро закончился срок.', 'Он подъехал незримо к черте, где все рвется за миг.', 'И в застывших глазах, обращенных к началу дорог,', 'Затвердел и остался навек неродившийся крик.', '', 'Я получил эту роль. Мне выпал счастливый билет.', '', 'Я получил эту роль. Мне выпал счастливый билет.']"
"['G#5', 'E5', 'C#5', 'B5', 'A5']",1024,0,07.10.2022,https://amdm.ru/akkordi/ddt/196793/malenkaya_smert/,"['x8', 'x4', 'x4', 'x3', 'x1', 'Маленькая смерть в огромном Мегаполисе,', 'Лежит за остановкой в чёрном снегу.', 'Никто не заметил её мёртвые волосы,', 'Мимо фары сжигают метель на бегу.', 'Тупики Мегаполиса скрывает тьма.', 'Нет ни скорой, ни ментов, Бога вызывай?!', 'На открытых глазах не тает зима,', 'За остановкой – пустырь, за пустырем – рай.', 'Никого, только ветер вращает лопасти', 'Цивилизации – пластик, наркозакладки.', 'Маленькая смерть лежит у пропасти', 'Промзоны как коммерческая палатка.', 'Выбирай, выбирай, чего хочешь выбирай.', 'Проберись на середину, заползи за край.', 'Или выйди один и сгори на площади,', 'Как всадник апокалипсиса на тощей лошади.', 'Он любит тебя, он следит за тобой,', 'Твою маленькую смерть не позволит украсть', 'В этом тупике всё тик-ток, как твой,', 'Твой батон Хиггса, голубиная пасть.', 'За пустырем Человейник разжигает огни.', 'В пещерах затаились зрачки сигарет.', 'Затянулись и взорвался газом грёбанный бред.', 'Выдохнули рай и исчезли они.', 'Маленькая смерть в огромном Мегаполисе.', 'В остывшем кулаке обрывки личности.', 'Не делятся клетки в мертвой полости,', 'Как не дышит провинция в тисках столичности.', 'Ты родился с концом, но не дожил до конца.', 'Эффект Барнума выбесил, хочется выть.', 'Судный день от Пер-во-го лица,', 'Он желает твоей смерти сильней, чем ты жить!', 'Они желают нашей смерти сильней, чем мы жить.', 'Они желают нашей смерти сильней, чем мы жить.', 'Смелая душа,', 'Помолчи со мной', 'Выпьем из ковша', 'Ветер ледяной,', 'Неба водоем,', 'Вечности на час,', 'Вспомни о своём', 'И запомни нас.', 'x8', 'x4', 'x4', 'x3', 'x1']"
"['Bm', 'Bsus2', 'A', 'G', 'D', 'D7', 'Em', 'F#']",16356,23,30.07.2016,https://amdm.ru/akkordi/ddt/146227/dim/,"['Дым на солнце облаком  падает больным,', 'Заслонили черное   горы серебра.', 'Проезжаю сбоку я мертвым и живым,', 'Рвусь дорогой спорною в сторону добра.', 'Потихоньку волоком курим, говорим,', 'Вяжем это тонкое время до утра.', 'Жизнь ворчит да мается,  тонет и хрипит.', 'На вершины нервная выползла заря.', 'Тишина сломается, громко закричит.', 'Думаю, что первая пуля не моя.', 'Время не раскается, память промолчит.', 'Жизнь течет примерная, да только не моя.', 'С ветрами беседуют языки костра.', 'Родина далекая, с кем гуляешь ты?', 'Угостит победою и спиртом медсестра.', 'Верность неглубокая, сны из бересты.', 'Смертью пообедают горы-снайпера.', 'Смерть - работа легкая для этой красоты.', 'То встает, то падает сбитая заря,', 'Ждет пропавший без вести за чертой закат.', 'Надоело до смерти, честно говоря,', 'Мне таскать по осени этот автомат.', 'Может не на месте я, да ничего не зря.', 'Как война закончится - будем дома, брат!', 'Может не на месте я, да ничего не зря.', 'Как война закончится - будем дома, брат!']"
"['Am', 'Em', 'Dm']",34731,59,11.08.2020,https://amdm.ru/akkordi/ddt/177292/rodina/,"['Боже! Сколько лет я иду, но не сделал и шаг.', 'Боже! Сколько дней я ищу то, что вечно со мной.', 'Сколько лет я жую вместо хлеба сырую любовь.', 'Сколько жизней в висок мне плюет вороненым стволом', 'Долгожданная да-а-а-а-аль!', 'Черные фары у соседних ворот!', 'Лютики, наручники, порванный рот!', 'Сколько раз, покатившись, моя голова', 'С переполненной плахи летела сюда, где', 'Припев:', 'Родина!!!', 'Еду я на Родину!', 'Пусть кричат уродина.', 'А она нам нравится!', 'Хоть и не красавица.', 'К сволочи доверчива,', 'Ну а к нам тра-ля-ля! Ля-ля-ля! Ля-ля-ля-ля-ля-ля...', 'Эй, начальник!!', 'Проигрыш:', 'Em}x2', '(между строчек)', 'Боже!     Сколько правды в глазах государственных шлюх!', '(между строчек)', 'Боже!     Сколько веры в руках отставных палачей!', 'Ты не дай им опять закатать рукава,', 'Ты не дай им опять закатать рукава суетливых ночей!', 'Черные фары у соседних ворот!', 'Лютики, наручники, порванный рот!', 'Сколько раз, покатившись, моя голова', 'С переполненной плахи летела сюда, где', 'Припев:', 'Родина!!!', 'Еду я на Родину!', 'Пусть кричат уродина.', 'А она нам нравится!', 'Хоть и не красавица.', 'К сволочи доверчива,', 'Ну а к нам тра-ля-ля! Ля-ля-ля! Ля-ля-ля-ля-ля-ля...', 'Эй, начальник!!', 'Из-под черных рубах рвется красный петух,', 'Из-под добрых царей льется в рты мармелад.', 'Никогда этот мир не вмещал в себе двух,', 'Был нам Богом отец, ну а чертом...', 'Припев:', 'Родина!!!', 'Еду я на Родину!', 'Пусть кричат уродина.', 'А она нам нравится!', 'Хоть и не красавица.', 'К сволочи доверчива,', 'Ну а к нам тра-ля-ля! Ля-ля-ля! Ля-ля-ля-ля-ля-ля...', 'Эй, начальник!!']"
"['Em', 'Cmaj7', 'Am7', 'B7+']",30840,21,07.04.2003,https://amdm.ru/akkordi/ddt/12983/belaya_ptica_voroni/,"['На небе вороны, под небом монахи,', 'И я между ними в расшитой рубахе,', 'Лежу на просторе, легка и пригожа,', 'И солнце взрослее и ветер моложе.', 'Меня отпевают в громадине храма,', 'Была я невеста, прекрасная дама,', 'Душа моя рядом стояла и пела,', 'Но люди, не видя, смотрели на тело.', 'Судьба и молитва менялись местами,', 'Молчал мой любимый и крестное знамя,', 'Лицо его светом едва освещало,', 'Прости, я ему все прощала.', 'Весна задрожав от печального звона,', 'Смахнула две капли на каплю иконы,', 'Что мирно покоилась между руками,', 'И я целовала веселое пламя.', 'Свеча догорела, упало кадило,', 'Земля застонав, превращалась в могилу,', 'Я бросилась в реку за легкой синицей,', 'Теперь я на воле, я Белая Птица.', 'Взлетев на прощанье, кружась над родными,', 'Смеялась я, горе их не понимая,', 'Мы встретимся вскоре, но будем иными,', 'Есть вечная воля, зовет меня стая.']"
"['C', 'F', 'Am', 'G']",6449,1,06.10.2014,https://amdm.ru/akkordi/ddt/98961/v_eto/,"['Вступление:', 'В это, в это!', 'В это, в это, в это!', 'В это, в это!', 'В это, в это, в это!', 'В это, в это!', 'Здесь нет других движений, кроме криминальных,', 'Не спасает от смерти святая вода,', 'Нам разрешили встать, да некуда идти,', 'Ведь никто пока не знает, зачем и куда.', 'Здесь небо соткано из драк, земля - из проблем,', 'Тело требует мыла, а души - котла,', 'И как нам хочется верить, да не ведаем чем,', 'Здесь нет урожаев, здесь шесть лет - весна.', 'В это, в это, в это!', 'Здесь взрывают коров, здесь калеки на завтрак,', 'Здесь сироты на ужин, и поют не о том', 'Сексуальные дяди, а липкое завтра', 'Вновь придавит нас, грешников, жирным постом.', 'И это полная лажа о завтрашнем дне,', 'Мудрецы говорят, благотворна для нас,', 'Мы так привыкли к дерьму, что призыв к чистоте,', 'Не продует вам уши, не промоет нам глаз.', 'Время юных законов, и новых зачатий,', 'Но детская смертность, увы, велика,', 'И не родившись еще, время пахнет проклятьем,', 'Как наше море, и ваша река.', 'И этой ночью замечаешь лишь два цвета глаз,', 'Стынет в умных страх, а в глупых - ярость,', 'Здесь стоит вверх ногами активность масс,', 'Здесь юность мудра, но жестока старость.', 'В это, в это!', 'В это, в это, в это, в это!', 'Когда некуда ползти, есть куда бежать,', 'Там после пожара вам согреют сердца,', 'Но мне там нечем жить и мне незачем лгать,', 'У меня здесь мать и я верю в Христа.', 'И здесь лежит мой брат, и наблюдаю я,', 'Как вырастают березы у него на груди,', 'И пусть гниют враги, пусть предают друзья,', 'Я продолжаю жить, я продолжаю идти', 'В это, а-ха! Великое время!', 'В это, а-ха! Великое время!', 'В это, а-ха! Великое время!', 'В это, а-ха! Великое время!']"
"['Dm', 'Am', 'F', 'G']",13014,12,07.04.2003,https://amdm.ru/akkordi/ddt/1607/plastun/,"['Мне страна ворковала о сыновей любви,', 'Вытирая платочком сухие глаза,', 'Сморкаясь в кровавое вымя зари,', 'Поминая героические имена,', 'Прикрепляя медаль на дырявую грудь,', 'Намечая ударный трудовой путь,', 'В райкомовском рае подливая чаек:', '""Все хорошо! Все нормалек!""', 'А я все ползу, ползу, ползу,', 'Ползу по песку, по невскому,', 'Ползу по степи Красной площади,', 'Между черных парадных визжащих колес,', 'Ползу по глазам обесточенных дам,', 'Я не человек, я - бешенный пес,', 'Ползу по столбам безразличных вождей,', 'Ползу, разгребая дерьмо их идей,', 'Ползу по тоске ночного метро,', 'Ползу по пивным, ползу по кино.', 'Похороните Федьку в Кремлевской Стене,', 'Дайте ему то, что не дали мне,', 'Замуруйте правду вместе с ним,', 'Он умел стрелять Государственный гимн.', 'Не пыль - народ, не народ - слова,', 'Слова - не мир, мир - не звездочки,', 'Не гладь кругом - водоворот,', 'Я - не бревно, я - рыба здесь.', 'Мне не нравиться жизнь, я ее хочу,', 'Ненавижу ваше я, как свое,', 'Не трагичен мир - печален я,', 'А сердце мое, а сердце мое!']"
"['D', 'G', 'Em', 'C', 'B7']",18434,14,07.04.2003,https://amdm.ru/akkordi/ddt/14132/v_restorane/,"['Вступление и проигрыши:', '*', '*', '*', '*', 'С душой Достоевского, с комплексами Блока', '*', '*', 'Я в ресторане сидел, меня тошнило от сока', 'Судьбу разъел как бронхит - синдром Льва Толстого', '*', '*', 'Непротивление - слева, справа - грубое слово', '*', '*', 'Господь сорвал голос, Его мало кто слышит', '*', '*', 'Но жизнь и так хороша и поэтому дышит', 'Моя любовь к миру слева, там где пышная Клава', '*', '*', 'Где ест яблоки Ева, где моя слава', '*', '*', 'Боже, как хорошо, как легки эти двери', '*', '*', 'Я в них спокойно вошел, на блюдах птицы и звери', 'Я немного грустил, как могила Шагала', '*', '*', 'Спросили: «Кто виноват?», ответил: «Выпили мало»', '*', '*', 'Но тут ты появилась и этот бред вспыхнул храмом', '*', '*', 'Я как старый Дионис, стал мифологическим срамом', 'Как на невольничих рынках стояла Родина голой', '*', '*', 'На подмостках Европы, с крылами до пола', '*', '*', 'Я забыл кем я стал, я проклял искусство', '*', '*', 'Понял я что давно боялся этого чувства', 'Я с тоской Мондельштама упал на колени', '*', '*', 'Прости меня, я люблю твои овалы и тени', '*', '*', 'И вдруг что-то влетело в эту щель между нами', '*', '*', 'Что-то сверкнуло и толпы радостной пыли', 'По проспекту поплыли, неся в руках знамя', '*', '*', 'Ты узнала меня и мы секунду любили...']"
"['Em', 'G', 'D', 'F', 'B', 'C']",9790,6,07.04.2003,https://amdm.ru/akkordi/ddt/8430/ignatius_song_eto_tvoya_rodina_sinok/,"['В этом городе нет больше слез,', 'В этом городе жизнь холодна.', 'В этом климаксе белых берез', 'Жизнь твоя никому не нужна.', 'В этом северном ветре столиц', 'Тени тех, кто без срока, без сна', 'Бродят по тротуарам босые без лиц,', 'Черной птицей летят из окна.', 'Чем дышать – здесь никто не поймет.', 'Здесь чухонское лето - зима.', 'Тут ворона жар-птицей при жизни слывет.', 'И собаками площадь полна.', 'Здесь трамваи ломают друг другу рога,', 'Под землею хрипит черный кот.', 'Рыба здесь тише мыши в сетях четверга', 'И у крысы мало забот.', 'Это твоя родина, сынок…', 'Это твоя родина, сынок…', 'Это твоя родина, сынок…', 'Здесь октябрь когда-то смещен ноябрем', 'Императорам римским не в честь.', 'А пасхальный поклон подменен кумачом.', 'Что тут скажешь: так было, так есть.', 'И не верь в оптимизм этих бешенных стай,', 'Что клюют здесь. Вас уже нет.', 'Воронья не корми, разменяв вой на лай.', 'И это хороший ответ.', 'Неужели болезни не учат тела?', 'Отчего память так коротка?', 'И зачем все мосты догорают дотла?', 'Да и плавать кишка тонка.', 'Или чарка в парадной всем застит глаза?', 'Или совесть искрит в забытье?', 'Только станут стрелять –  и тогда тормоза', 'Ни к чему в этой галиматье.', 'Это твоя родина, сынок…', 'Это твоя родина, сынок…', 'Это твоя родина, сынок…', 'Мы живем не спеша и не чувствуем связь', 'Между мыслью и кулаком.', 'Мы бредем вдоль Невы, ничего не боясь,', 'По осколкам травы босиком.', 'Нам не ставят капканы, не ставят засад,', 'Но это только пока.', 'То что каждый хранит свой единственный шанс:', 'Сдохнуть от сквозняка.']"
